bits,input1,input2,hash,inputs_tried,time
0,,,,0,0.0
8,8Nt4dxG;.z,"!BYJH!w""d<",217,24,0.00038695335388183594
10,"/}:k5im""g$",1bf9I.xSm{,104,37,0.00037288665771484375
12,SKBjx+p}'s,E0>Wo*K:;c,17,17,0.0001747608184814453
14,hJA3+C-AnP,UAX*jj/)GK,2057,86,0.0010046958923339844
16,a&qzNyo]A6,J-d%$uczFR,59189,185,0.0018918514251708984
18,ivUqztw2A<,+-=#qQ~Sli,60542,387,0.0038955211639404297
20,"qgPI""W-9Mg",9\n56#^%Gq,863284,496,0.005228519439697266
22,MJM{0]'mKA,&u%ka?-?kN,1016405,1960,0.024135351181030273
24,b%@X#2VVR3,F}`dl93\Sy,761065,3803,0.03809857368469238
26,L]p4&4E^EW,qJr%TJ*\Z7,5873285,1798,0.017824411392211914
28,Nd=j':l:+q,nH!.c\f)!x,37506236,15233,0.1557004451751709
30,sC2=jC_[=a,d1Q8iGq@L*,246166442,6593,0.06721663475036621
32,:je/y?j(ji,0vU}%a@h;1,3696635426,136703,1.4071073532104492
34,2(}TV6&A/F,"+[sa,*i?E-",3661438219,107917,1.1406352519989014
36,nBh(YQv>&},-=I4NmM):),22453928060,366901,3.78183913230896
38,7a>#G=:~\d,'ue!=$0b8b,3398666776,88995,0.9150116443634033
40,5voAp|x>n#,-60)1dxr:/,77551264891,912952,9.438382863998413
42,X{uZ2mkg$l,`6E1GqOsk^,610660013092,1109473,12.018468618392944
44,;%t-wv~*^O,Fuy:AeK:Zs,2319954963300,4077225,42.48327970504761
46,n>$7'4.a%a,(bp`KbR:2F,1482880946177,3181267,32.83912515640259
48,dLV1k`fwtq,R@6Tb-%[}r,76562145264282,18074607,272.6757230758667
